State,City,lat,lng,timezone,UTC
AK,ANCHORAGE,61.1508,-149.1091,America/Anchorage,-9
AK,FAIRBANKS,64.8353,-147.6534,America/Anchorage,-9
AK,JUNEAU,58.4546,-134.1739,America/Juneau,-9
AL,BIRMINGHAM,33.5277,-86.7987,America/Chicago,-6
AL,MOBILE,30.6783,-88.1162,America/Chicago,-6
AL,MONTGOMERY,32.3473,-86.2666,America/Chicago,-6
AR,FORT SMITH,35.3493,-94.3695,America/Chicago,-6
AR,LITTLE ROCK,34.7256,-92.3576,America/Chicago,-6
AZ,PHOENIX,33.5722,-112.0891,America/Phoenix,-7
AZ,TUCSON,32.1545,-110.8782,America/Phoenix,-7
AZ,YUMA,32.5992,-114.5488,America/Phoenix,-7
CA,ANAHEIM,33.839,-117.8572,America/Los_Angeles,-8
CA,BAKERSFIELD,35.3529,-119.0359,America/Los_Angeles,-8
CA,EUREKA,40.7942,-124.1568,America/Los_Angeles,-8
CA,FRESNO,36.7831,-119.7941,America/Los_Angeles,-8
CA,LOS ANGELES,34.1139,-118.4068,America/Los_Angeles,-8
CA,RIVERSIDE,33.9381,-117.3948,America/Los_Angeles,-8
CA,SACRAMENTO,38.5667,-121.4683,America/Los_Angeles,-8
CA,SAN BERNARDINO,34.1417,-117.2946,America/Los_Angeles,-8
CA,SAN DIEGO,32.8312,-117.1225,America/Los_Angeles,-8
CA,SAN FRANCISCO,37.7562,-122.443,America/Los_Angeles,-8
CA,SAN JOSE,37.3019,-121.8486,America/Los_Angeles,-8
CO,COLORADO SPRINGS,38.8674,-104.7606,America/Denver,-7
CO,DENVER,39.7621,-104.8759,America/Denver,-7
CO,GRAND JUNCTION,39.0876,-108.5673,America/Denver,-7
CT,HARTFORD,41.7661,-72.6834,America/New_York,-5
DC,WASHINGTON,38.9047,-77.0163,America/New_York,-5
DE,DOVER,39.161,-75.5203,America/New_York,-5
FL,JACKSONVILLE,30.3322,-81.6749,America/New_York,-5
FL,MIAMI,25.7839,-80.2102,America/New_York,-5
FL,ORLANDO,28.4772,-81.3369,America/New_York,-5
FL,TALLAHASSEE,30.4551,-84.2526,America/New_York,-5
FL,TAMPA,27.9942,-82.4451,America/New_York,-5
GA,ATLANTA,33.7627,-84.4224,America/New_York,-5
GA,AUGUSTA,33.3645,-82.0708,America/New_York,-5
HI,HONOLULU,21.3294,-157.846,Pacific/Honolulu,-10
IA,DES MOINES,41.5725,-93.6105,America/Chicago,-6
IA,FORT MADISON,40.6207,-91.3509,America/Chicago,-6
IA,MASON CITY,43.1487,-93.1998,America/Chicago,-6
ID,BOISE,43.6007,-116.2312,America/Boise,-7
ID,IDAHO FALLS,43.4872,-112.0362,America/Boise,-7
IL,AURORA,41.7637,-88.2901,America/Chicago,-6
IL,CHAMPAIGN,40.1144,-88.2735,America/Chicago,-6
IL,CHICAGO,41.8373,-87.6862,America/Chicago,-6
IN,FORT WAYNE,41.0886,-85.1437,America/Indiana/Indianapolis,-5
IN,INDIANAPOLIS,39.7771,-86.1458,America/Indiana/Indianapolis,-5
KS,DODGE CITY,37.761,-100.0183,America/Chicago,-6
KS,KANSAS CITY,39.1234,-94.7443,America/Chicago,-6
KS,WICHITA,37.6896,-97.3442,America/Chicago,-6
KY,LEXINGTON,38.0423,-84.4587,America/New_York,-5
KY,LOUISVILLE,38.1663,-85.6485,America/New_York,-5
KY,PADUCAH,37.0711,-88.6436,America/Chicago,-6
LA,BATON ROUGE,30.4418,-91.131,America/Chicago,-6
LA,SHREVEPORT,32.4656,-93.7956,America/Chicago,-6
MA,BOSTON,42.3188,-71.0846,America/New_York,-5
MA,WORCESTER,42.2705,-71.8079,America/New_York,-5
MD,BALTIMORE,39.3051,-76.6144,America/New_York,-5
ME,ORONO,44.8831,-68.6719,America/New_York,-5
ME,PORTLAND,43.6773,-70.2715,America/New_York,-5
MI,BAY CITY,43.5903,-83.8886,America/Detroit,-5
MI,DETROIT,42.3834,-83.1024,America/Detroit,-5
MI,GRAND RAPIDS,42.962,-85.6562,America/Detroit,-5
MN,DULUTH,46.7756,-92.1392,America/Chicago,-6
MN,ST. PAUL,44.9477,-93.104,America/Chicago,-6
MO,JEFFERSON CITY,38.5676,-92.1759,America/Chicago,-6
MO,SPRINGFIELD,37.1943,-93.2916,America/Chicago,-6
MO,ST. LOUIS,38.6358,-90.2451,America/Chicago,-6
MS,JACKSON,32.3163,-90.2124,America/Chicago,-6
MT,BILLINGS,45.7891,-108.5524,America/Denver,-7
MT,KALISPELL,48.2156,-114.3262,America/Denver,-7
NC,CHARLOTTE,35.208,-80.8304,America/New_York,-5
NC,GREENSBORO,36.0956,-79.8269,America/New_York,-5
NC,RALEIGH,35.8325,-78.6435,America/New_York,-5
NC,WILMINGTON,34.21,-77.8866,America/New_York,-5
ND,BISMARCK,46.8144,-100.7694,America/Chicago,-6
NE,KEARNEY,40.701,-99.0834,America/Chicago,-6
NE,LINCOLN,40.809,-96.6788,America/Chicago,-6
NE,OMAHA,41.2627,-96.0522,America/Chicago,-6
NH,CONCORD,43.2305,-71.5595,America/New_York,-5
NH,PORTSMOUTH,43.058,-70.7826,America/New_York,-5
NJ,EDISON,40.5187,-74.4121,America/New_York,-5
NM,ALBUQUERQUE,35.1053,-106.6464,America/Denver,-7
NM,CARLSBAD,32.4011,-104.2389,America/Denver,-7
NM,NAVAJO LAKE,36.6722,-107.0519,America/Denver,-7
NV,LAS VEGAS,36.2333,-115.2654,America/Los_Angeles,-8
NV,RENO,39.5497,-119.8483,America/Los_Angeles,-8
NY,ALBANY,42.6664,-73.7987,America/New_York,-5
NY,LOCKPORT,43.1698,-78.6956,America/New_York,-5
NY,NEW YORK CITY,40.7306,-73.9352,America/New_York,-5
NY,ROCHESTER,43.168,-77.6162,America/New_York,-5
NY,SYRACUSE,43.0409,-76.1438,America/New_York,-5
NY,YAPHANK,40.8323,-72.9233,America/New_York,-5
OH,CINCINNATI,39.1413,-84.5061,America/New_York,-5
OH,CLEVELAND,41.4767,-81.6804,America/New_York,-5
OH,COLUMBUS,39.9862,-82.985,America/New_York,-5
OH,TOLEDO,41.6639,-83.5822,America/New_York,-5
OK,OKLAHOMA CITY,35.4676,-97.5136,America/Chicago,-6
OK,TULSA,36.1284,-95.9042,America/Chicago,-6
OR,CORVALLIS,44.5697,-123.278,America/Los_Angeles,-8
OR,PORTLAND,45.5372,-122.65,America/Los_Angeles,-8
PA,BLOOMSBURG,41.0027,-76.4561,America/New_York,-5
PA,PHILADELPHIA,40.0077,-75.1339,America/New_York,-5
PA,PITTSBURGH,40.4396,-79.9762,America/New_York,-5
PR,SAN JUAN,18.4037,-66.0636,America/Puerto_Rico,-4
RI,PROVIDENCE,41.823,-71.4187,America/New_York,-5
SC,COLUMBIA,34.0376,-80.9037,America/New_York,-5
SD,PIERRE,44.3748,-100.3205,America/Chicago,-6
SD,RAPID CITY,44.0716,-103.2204,America/Denver,-7
TN,KNOXVILLE,35.9692,-83.9496,America/New_York,-5
TN,MEMPHIS,35.1046,-89.9773,America/Chicago,-6
TN,NASHVILLE,36.1715,-86.7843,America/Chicago,-6
TX,AMARILLO,35.1988,-101.8311,America/Chicago,-6
TX,AUSTIN,30.3004,-97.7522,America/Chicago,-6
TX,CORPUS CHRISTI,27.726,-97.3755,America/Chicago,-6
TX,DALLAS,32.7936,-96.7662,America/Chicago,-6
TX,EL PASO,31.8479,-106.4309,America/Denver,-7
TX,FORT WORTH,32.7811,-97.3473,America/Chicago,-6
TX,HARLINGEN,26.1917,-97.6976,America/Chicago,-6
TX,HOUSTON,29.7863,-95.3889,America/Chicago,-6
TX,LAREDO,27.5629,-99.4875,America/Chicago,-6
TX,LUBBOCK,33.5659,-101.8878,America/Chicago,-6
TX,SAN ANGELO,31.4424,-100.4506,America/Chicago,-6
TX,SAN ANTONIO,29.4658,-98.5253,America/Chicago,-6
UT,SALT LAKE CITY,40.7777,-111.9306,America/Denver,-7
UT,ST. GEORGE,37.077,-113.577,America/Denver,-7
VA,HARRISONBURG,38.4361,-78.8735,America/New_York,-5
VA,RICHMOND,37.5295,-77.4756,America/New_York,-5
VA,VIRGINIA BEACH,36.7335,-76.0435,America/New_York,-5
VT,BURLINGTON,44.4877,-73.2314,America/New_York,-5
WA,ELLENSBURG,46.9994,-120.5477,America/Los_Angeles,-8
WA,OLYMPIA,47.0417,-122.8959,America/Los_Angeles,-8
WA,RICHLAND,46.2824,-119.2938,America/Los_Angeles,-8
WA,SEATTLE,47.6211,-122.3244,America/Los_Angeles,-8
WA,SPOKANE,47.6671,-117.433,America/Los_Angeles,-8
WI,LA CROSSE,43.824,-91.2268,America/Chicago,-6
WI,MADISON,43.0826,-89.3931,America/Chicago,-6
WI,MILWAUKEE,43.0642,-87.9673,America/Chicago,-6
WI,SHAWANO,44.7748,-88.5843,America/Chicago,-6
WV,CHARLESTON,38.3484,-81.6323,America/New_York,-5
WY,CASPER,42.842,-106.3207,America/Denver,-7
